Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent
2015,2015-01,7,1120.8,20.8,119111,295.2,52307.6,SAGD,191243,CNOOCLK,Nexen,Athabasca,3.473202707,LongLake,3668.2,664226.4,7.1
2017,2017-05,8,,13,62375,,,SAGD,193351,HSESR,Husky,Athabasca,4.485196885,Sunrise,743.8,867218.2,
2018,2018-09,7,,1.3,33118,,23343.6,SAGD,193953,CNOOCLK,Nexen,Athabasca,3.344720433,LongLake,3374.2,648719.9,14.7
2019,2019-10,12,,1.2,14722,,,SAGD,194094,CNRLKB,CNRL,Athabasca,3.006063051,Kirby,1356.7,583457.9,7.8
2019,2019-02,7,,3.3,24917,,34233.9,SAGD,194687,CNOOCLK,Nexen,Athabasca,3.185798194,LongLake,3853,620231.9,7.9
2016,2016-06,6,,133,55129,,1496.7,SAGD,194697,COPSM,ConocoPhillips,Athabasca,3.679034108,Surmont,804.2,716295.8,
2017,2017-09,8,,7.1,63015,,,SAGD,194705,HSESR,Husky,Athabasca,4.47990369,Sunrise,535.7,872259.2,
2017,2017-08,8,,8.3,62955,,,SAGD,195538,HSESR,Husky,Athabasca,4.460542392,Sunrise,732.5,872204.2,1.4
2017,2017-05,7,,9.8,33920,,24169.1,SAGD,195763,CNOOCLK,Nexen,Athabasca,3.837887484,LongLake,1289.6,751315.6,5.3
2019,2019-03,7,,63.8,28713,,24540.5,SAGD,195879,CNOOCLK,Nexen,Athabasca,3.033437479,LongLake,4076.5,594186.7,
2016,2016-10,12,,11.4,28866,,,SAGD,196873,CNRLKB,CNRL,Athabasca,2.48897437,Kirby,1300.2,490012.1,17.1
2015,2015-11,12,,13.8,26657,,,SAGD,197006,CNRLKB,CNRL,Athabasca,2.252252344,Kirby,564.1,443707,14.7
2017,2017-06,7,,19.1,27273,,31480.3,SAGD,197759,CNOOCLK,Nexen,Athabasca,3.76266266,LongLake,514,744098.9,10.4
2019,2019-02,8,,1.6,61931,,,SAGD,198585,HSESR,Husky,Athabasca,4.45690483,Sunrise,517.4,885074,28.2
2017,2017-06,12,,6.1,29946,,,SAGD,198776,CNRLKB,CNRL,Athabasca,2.562059303,Kirby,1208.6,509275.9,7.8
2017,2017-09,7,,18.1,34691,,29751.7,SAGD,199993,CNOOCLK,Nexen,Athabasca,4.059388079,LongLake,1455.1,811849.2,4.7
2017,2017-07,8,,8.7,60994,,,SAGD,200764,HSESR,Husky,Athabasca,4.262048083,Sunrise,420.4,855667.1,557.8
2015,2015-07,7,4.2,23.2,103524,,35496.7,SAGD,201492,CNOOCLK,Nexen,Athabasca,3.941730718,LongLake,175.2,794227.6,22.3
2017,2017-01,7,,12.7,42588,,28464.9,SAGD,201567,CNOOCLK,Nexen,Athabasca,4.317309538,LongLake,1179.1,870226.7,0.3
2018,2018-06,7,,9.1,30311,,27382.2,SAGD,204387,CNOOCLK,Nexen,Athabasca,3.421722157,LongLake,3607.5,699354.5,0.9
2018,2018-01,7,,5.5,28872,,35111.5,SAGD,207785,CNOOCLK,Nexen,Athabasca,3.477694754,LongLake,1688,722613.5,
2015,2015-09,7,,22.5,132035,,63968.2,SAGD,208067,CNOOCLK,Nexen,Athabasca,4.174078291,LongLake,1337,868489.2,0.7
2019,2019-01,7,,19.3,27043,,38382.9,SAGD,208398,CNOOCLK,Nexen,Athabasca,3.326392601,LongLake,4304.1,693212.9,26.9
2019,2019-06,8,,194.9,40533,,,SAGD,209369,HSESR,Husky,Athabasca,2.732346334,Sunrise,923.2,572067.8,
2019,2019-11,12,,0.7,16843,,,SAGD,209440,CNRLKB,CNRL,Athabasca,2.994469063,Kirby,920.3,627161.9,
2017,2017-08,7,,15.6,35234,,31331.4,SAGD,210050,CNOOCLK,Nexen,Athabasca,4.041348825,LongLake,1177.4,848883.3,1.2
2018,2018-02,8,,31.4,57429,,,SAGD,211042,HSESR,Husky,Athabasca,3.81191629,Sunrise,661.6,804475.2,
2017,2017-11,7,,,32233,,34601.9,SAGD,212004,CNOOCLK,Nexen,Athabasca,3.822796268,LongLake,1429.9,810448.1,1
2017,2017-07,7,,20.1,32528,,31897.2,SAGD,212339,CNOOCLK,Nexen,Athabasca,3.861648801,LongLake,1048.4,819977.1,22.8
2015,2015-12,6,,51.2,72340,,,SAGD,212775,COPSM,ConocoPhillips,Athabasca,4.622393076,Surmont,2356.8,983528.3,13.1
2018,2018-08,7,,0.8,28283,,34365.4,SAGD,213881,CNOOCLK,Nexen,Athabasca,3.2615604,LongLake,3932.9,697585.8,
2018,2018-11,7,,6.8,29995,,31875.1,SAGD,214408,CNOOCLK,Nexen,Athabasca,3.179183912,LongLake,4297.2,681643.1,5.8
2017,2017-12,7,,1.9,36267,,28158.6,SAGD,216949,CNOOCLK,Nexen,Athabasca,3.698685083,LongLake,251.6,802426.4,5.6
2017,2017-10,8,,2.1,66993,,,SAGD,217188,HSESR,Husky,Athabasca,4.29108403,Sunrise,840.9,931971.1,12.2
2017,2017-10,7,,4.8,39032,,33385.3,SAGD,219412,CNOOCLK,Nexen,Athabasca,4.238220204,LongLake,1958,929915.1,20.3
2018,2018-03,7,,22.9,35002,,28299.4,SAGD,220858,CNOOCLK,Nexen,Athabasca,3.447713166,LongLake,2564.4,761454,18.4
2015,2015-03,7,1210.5,29.2,116722,240.5,64055.4,SAGD,222104,CNOOCLK,Nexen,Athabasca,3.393969942,LongLake,2948,753814.3,
2018,2018-04,7,,0.8,33320,,32756,SAGD,222182,CNOOCLK,Nexen,Athabasca,3.519141497,LongLake,3442.1,781890.6,1.5
2019,2019-04,7,,3.7,24470,,33240.7,SAGD,222537,CNOOCLK,Nexen,Athabasca,2.812460063,LongLake,4168.2,625875.3,24.3
2015,2015-05,7,1147.2,29.2,118980,289.2,62394.8,SAGD,222549,CNOOCLK,Nexen,Athabasca,3.324884396,LongLake,2530.2,739948.7,26.8
2017,2017-11,8,,7.8,69609,,,SAGD,222568,HSESR,Husky,Athabasca,4.337697547,Sunrise,869.2,965431.8,9.1
2019,2019-11,8,,0.6,47387,,,SAGD,223162,HSESR,Husky,Athabasca,2.928300165,Sunrise,1052,653486.2,1.9
2016,2016-07,3,,1518.8,121663,,17115.6,CSS,223257,CNRLWL,Canadian Natural Resources Limited,Cold Lake,9.517951493,"CNRL Wolf Lake, Primrose, and Burnt Lake",11234,2124951.2,
2019,2019-04,8,,0.1,59784,,,SAGD,223274,HSESR,Husky,Athabasca,3.814193854,Sunrise,719.9,851610.7,1.3
2018,2018-10,7,,18.2,41077,,21788.4,SAGD,223287,CNOOCLK,Nexen,Athabasca,3.408346922,LongLake,4458.7,761039.9,17.5
2019,2019-01,8,,14.5,69551,,,SAGD,225048,HSESR,Husky,Athabasca,4.371390319,Sunrise,921.8,983770.9,16.2
2018,2018-06,8,,0.3,62893,,,SAGD,225427,HSESR,Husky,Athabasca,3.995931712,Sunrise,490.4,900788.9,
2019,2019-03,8,,15.8,62147,,,SAGD,225623,HSESR,Husky,Athabasca,3.911788053,Sunrise,432.2,882587.4,1.5
2019,2019-08,7,,29.8,31758,,33062.2,SAGD,225778,CNOOCLK,Nexen,Athabasca,2.911954663,LongLake,2257.8,657455.3,15.7
2018,2018-12,7,,32.8,30022,,37493.7,SAGD,226163,CNOOCLK,Nexen,Athabasca,3.136476086,LongLake,4663.3,709353.9,
2019,2019-06,7,,16.7,24836,,25870.1,SAGD,226449,CNOOCLK,Nexen,Athabasca,2.3187833,LongLake,650,525085,
2019,2019-09,7,,16.3,31836,,30925.6,SAGD,226459,CNOOCLK,Nexen,Athabasca,2.84390701,LongLake,2264.6,644027.2,0.6
2018,2018-05,7,,10.1,32713,,31674.4,SAGD,227452,CNOOCLK,Nexen,Athabasca,3.492968199,LongLake,4217.6,794484,0.9
2019,2019-05,8,,177.4,52959,,,SAGD,228142,HSESR,Husky,Athabasca,3.321894964,Sunrise,1211.1,757862.1,0.7
2016,2016-06,3,,1574.4,111303,,16941.8,CSS,229122,CNRLWL,Canadian Natural Resources Limited,Cold Lake,8.454073654,"CNRL Wolf Lake, Primrose, and Burnt Lake",13974.2,1937016.8,0.1
2018,2018-01,8,,26.3,68968,,,SAGD,229617,HSESR,Husky,Athabasca,4.17826004,Sunrise,832.7,959398.7,
2015,2015-08,7,,15.8,144647,,58637.7,SAGD,230798,CNOOCLK,Nexen,Athabasca,4.050442032,LongLake,2801.4,934832.3,17.9
2019,2019-11,7,,35.9,29388,,35725,SAGD,230872,CNOOCLK,Nexen,Athabasca,2.686236368,LongLake,2308.7,620177.3,1.9
2017,2017-12,8,,22.1,70735,,,SAGD,231557,HSESR,Husky,Athabasca,4.253275649,Sunrise,326.9,984876.6,15.9
2015,2015-04,7,1216.5,28.3,114957,334.2,55293.3,SAGD,231654,CNOOCLK,Nexen,Athabasca,2.95855322,LongLake,2856.4,685359.8,34.9
2018,2018-07,7,,6.7,31480,,31261.3,SAGD,232824,CNOOCLK,Nexen,Athabasca,3.262196788,LongLake,4161.5,759516.4,2.5
2018,2018-03,8,,16.4,63660,,,SAGD,233501,HSESR,Husky,Athabasca,3.834810628,Sunrise,504.1,895432.5,4.7
2019,2019-07,7,,2.8,30542,,34174,SAGD,233520,CNOOCLK,Nexen,Athabasca,2.724926966,LongLake,4670.4,636324.4,
2018,2018-09,8,,1.1,64524,,,SAGD,236263,HSESR,Husky,Athabasca,3.899201143,Sunrise,574.5,921235.4,
2018,2018-07,8,,0.9,66030,,,SAGD,236878,HSESR,Husky,Athabasca,3.96506508,Sunrise,837.1,939235.1,
2019,2019-10,7,,6.9,31794,,33727.1,SAGD,237542,CNOOCLK,Nexen,Athabasca,2.666829726,LongLake,2375.5,633483.8,
2016,2016-01,6,,83.7,74063,,,SAGD,239673,COPSM,ConocoPhillips,Athabasca,4.232124827,Surmont,2111.3,1014326.9,
2019,2019-05,7,,2.4,23342,,41810,SAGD,240718,CNOOCLK,Nexen,Athabasca,2.464277124,LongLake,4697,593196.6,3.4
2018,2018-05,8,,0.6,68058,,,SAGD,242344,HSESR,Husky,Athabasca,3.995057032,Sunrise,400.3,968179.3,2.1
2018,2018-04,8,,16,65150,,,SAGD,242891,HSESR,Husky,Athabasca,3.764341327,Sunrise,440.5,914323.5,
2019,2019-12,7,,9.3,31894,,37192.7,SAGD,244107,CNOOCLK,Nexen,Athabasca,2.42988707,LongLake,2441.1,593152.2,7.4
2019,2019-07,8,,2,44921,,,SAGD,246410,HSESR,Husky,Athabasca,2.635085279,Sunrise,926.1,649311.1,2
2016,2016-02,6,,0.1,71661,,,SAGD,247970,COPSM,ConocoPhillips,Athabasca,3.99811308,Surmont,2566.2,991412.9,1.1
2018,2018-08,8,,2.6,64732,,,SAGD,248736,HSESR,Husky,Athabasca,3.71699691,Sunrise,1217.1,924550.2,
2015,2015-10,7,674.2,18.1,147329,,69539.4,SAGD,249560,CNOOCLK,Nexen,Athabasca,3.832688331,LongLake,3468.5,956485.7,
2018,2018-10,8,,1.2,70643,,,SAGD,253537,HSESR,Husky,Athabasca,3.969887654,Sunrise,997.7,1006514.2,3.9
2018,2018-11,8,,0.8,68703,,,SAGD,253632,HSESR,Husky,Athabasca,3.864656668,Sunrise,1152.6,980200.6,3.5
2019,2019-01,3,,79.2,138083,,19180.3,CSS,258684,CNRLWL,Canadian Natural Resources Limited,Cold Lake,8.751484338,"CNRL Wolf Lake, Primrose, and Burnt Lake",9462.6,2263871.6,10.8
2016,2016-05,3,,76.8,130322,,,CSS,259086,CNRLWL,Canadian Natural Resources Limited,Cold Lake,7.62888346,"CNRL Wolf Lake, Primrose, and Burnt Lake",16090.6,1976536.9,1.1
2019,2019-08,8,,0.5,43329,,,SAGD,259595,HSESR,Husky,Athabasca,2.416745989,Sunrise,1171.5,627375.9,11.9
2019,2019-09,8,,1.1,54188,,,SAGD,260200,HSESR,Husky,Athabasca,2.989414669,Sunrise,880.6,777844.8,
2019,2019-12,12,,3.4,22765,,,SAGD,260584,CNRLKB,CNRL,Athabasca,2.931030354,Kirby,1368.9,763780.2,11.9
2017,2017-04,3,,68.7,97278,,18150.9,CSS,261362,CNRLWL,Canadian Natural Resources Limited,Cold Lake,6.63958675,"CNRL Wolf Lake, Primrose, and Burnt Lake",15653.2,1735337,
