Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent,k_14
2017,2017-03,16,NA,0.3,11582,NA,3433.9,SAGD,70432,PGFLB,Pengrowth,Cold Lake,2.741285211,Lindbergh,556.9,193074.2,NA,13
2018,2018-01,21,NA,NA,16482,165.2,NA,SAGD,70472,JCOS,Japan Canada Oil Sands Limited,Athabasca,3.085335657,Hangingstone,259.2,217430.7,NA,13
2017,2017-12,16,NA,1.4,13593,NA,3299.3,SAGD,70940,PGFLB,Pengrowth,Cold Lake,3.133788085,Lindbergh,545.1,222310.3,NA,13
2018,2018-11,13,NA,NA,16818,24.2,27,SAGD,71038,AOCLM,Athabasca Oil Corporation,Athabasca,3.682227887,Leismer,104.8,261577,NA,7
2015,2015-07,16,NA,33.6,12405,NA,NA,SAGD,71109,PGFLB,Pengrowth,Cold Lake,2.04815431,Lindbergh,1692.6,145642,NA,11
2015,2015-09,11,NA,0.7,22807,NA,NA,SAGD,71242,HSETL,Husky,Cold Lake,3.978070674,TuckerLake,3394.8,283407.7,NA,7
2016,2016-02,11,NA,11.5,24644,NA,NA,SAGD,71652,HSETL,Husky,Cold Lake,4.582818807,TuckerLake,2826.5,328366.3,NA,12
2015,2015-07,19,NA,109.4,19113,996.4,NA,SAGD,71856,COGGD,Connacher Oil And Gas Limited,Athabasca,3.745644396,GreatDivide,1795.3,269145.9,NA,7
2017,2017-01,16,NA,2.1,10812,NA,3427.7,SAGD,71911,PGFLB,Pengrowth,Cold Lake,2.589632769,Lindbergh,712.9,186223.6,NA,13
2017,2017-10,16,NA,8.8,13023,NA,3182.2,SAGD,72069,PGFLB,Pengrowth,Cold Lake,3.06184178,Lindbergh,159.4,220665.1,NA,13
2015,2015-04,19,324,91.3,19283,420.6,NA,SAGD,72101,COGGD,Connacher Oil And Gas Limited,Athabasca,3.655602034,GreatDivide,2022,263571.1,NA,7
